pair_id,cell,row,col,card_no,label,qr_url,front_image,back_image,front_page,back_page,front_bbox_xyxy,back_bbox_xyxy,needs_review,review_note,created_at,card_id,front_cell,back_cell,manual_locked,source_pdf
001_card,B3,2,3,001,,https://cardlish.com/short-a/,cards/001_card_front.png,cards/001_card_back.png,2,1,"(1178, 905, 1699, 1588)","(1192, 881, 1699, 1561)",False,,07/06/2026,legacy_001_card,B3,B3,False,
002_card,C2,3,2,002,,https://cardlish.com/ab/,cards/002_card_front.png,cards/002_card_back.png,2,1,"(548, 1664, 1041, 2341)","(603, 1664, 1082, 2341)",False,,07/06/2026,legacy_002_card,C2,C2,False,
003_card,B2,2,2,003,,https://cardlish.com/ack/,cards/003_card_front.png,cards/003_card_back.png,2,1,"(548, 905, 1041, 1588)","(603, 881, 1082, 1561)",False,,07/06/2026,legacy_003_card,B2,B2,False,
004_card,A2,1,2,004,,https://cardlish.com/ad/,cards/004_card_front.png,cards/004_card_back.png,2,1,"(548, 0, 1041, 817)","(603, 0, 1082, 793)",False,,07/06/2026,legacy_004_card,A2,A2,False,
005_card,A1,1,1,005,,https://cardlish.com/ag/,cards/005_card_front.png,cards/005_card_back.png,2,1,"(0, 0, 492, 817)","(0, 0, 488, 793)",False,,07/06/2026,legacy_005_card,A1,A1,False,
006_card,B1,2,1,006,,https://cardlish.com/am/,cards/006_card_front.png,cards/006_card_back.png,2,1,"(0, 905, 492, 1588)","(0, 881, 488, 1561)",False,,07/06/2026,legacy_006_card,B1,B1,False,
007_card,C1,3,1,007,,https://cardlish.com/an/,cards/007_card_front.png,cards/007_card_back.png,2,1,"(0, 1664, 492, 2341)","(0, 1664, 488, 2341)",False,,07/06/2026,legacy_007_card,C1,C1,False,
008_card,A3,1,3,008,,https://cardlish.com/ap/,cards/008_card_front.png,cards/008_card_back.png,2,1,"(1154, 0, 1699, 832)","(1135, 0, 1699, 818)",False,,07/06/2026,legacy_008_card,A3,A3,False,
009_card,B3,2,3,009,,https://cardlish.com/as/,cards/009_card_front.png,cards/009_card_back.png,2,1,"(1154, 921, 1699, 1596)","(1135, 907, 1699, 1585)",False,,07/06/2026,legacy_009_card,B3,B3,False,
010_card,C3,3,3,010,,https://cardlish.com/at/,cards/010_card_front.png,cards/010_card_back.png,2,1,"(1154, 1663, 1699, 2341)","(1135, 1663, 1699, 2341)",False,,07/06/2026,legacy_010_card,C3,C3,False,
011_card,A2,1,2,011,,https://cardlish.com/ax/,cards/011_card_front.png,cards/011_card_back.png,2,1,"(567, 0, 1069, 832)","(550, 0, 1044, 818)",False,,07/06/2026,legacy_011_card,A2,A2,False,
012_card,A1,1,1,012,,https://cardlish.com/short-e/,cards/012_card_front.png,cards/012_card_back.png,2,1,"(0, 0, 493, 832)","(0, 0, 490, 818)",False,,07/06/2026,legacy_012_card,A1,A1,False,
013_card,B1,2,1,013,,https://cardlish.com/eck/,cards/013_card_front.png,cards/013_card_back.png,2,1,"(0, 921, 493, 1596)","(0, 907, 490, 1585)",False,,07/06/2026,legacy_013_card,B1,B1,False,
014_card,C1,3,1,014,,https://cardlish.com/ed/,cards/014_card_front.png,cards/014_card_back.png,2,1,"(0, 1663, 493, 2341)","(0, 1663, 490, 2341)",False,,07/06/2026,legacy_014_card,C1,C1,False,
015,,0,0,015,,https://cardlish.com/eg/,cards/015_front.png,cards/015_back.png,0,0,"(0, 0, 1547, 2120)","(0, 0, 1256, 1561)",False,,02/07/2026,photo_015,,,False,photo_import
016_card,A1,1,1,016,,https://cardlish.com/el/,cards/016_card_front.png,cards/016_card_back.png,1,2,"(0, 0, 640, 853)","(0, 0, 640, 853)",False,,02/07/2026,front_016_022_p01p02_A1,A1,A1,False,front_016_022
017_card,A2,1,2,017,,https://cardlish.com/em/,cards/017_card_front.png,cards/017_card_back.png,1,2,"(640, 0, 1280, 853)","(640, 0, 1280, 853)",False,,02/07/2026,front_016_022_p01p02_A2,A2,A2,False,front_016_022
018_card,A3,1,3,018,,https://cardlish.com/en/,cards/018_card_front.png,cards/018_card_back.png,1,2,"(1280, 0, 1919, 853)","(1280, 0, 1919, 853)",False,,02/07/2026,front_016_022_p01p02_A3,A3,A3,False,front_016_022
019_card,B1,2,1,019,,https://cardlish.com/ep/,cards/019_card_front.png,cards/019_card_back.png,1,2,"(0, 853, 640, 1706)","(0, 853, 640, 1706)",False,,02/07/2026,front_016_022_p01p02_B1,B1,B1,False,front_016_022
020_card,B2,2,2,020,,https://cardlish.com/ess/,cards/020_card_front.png,cards/020_card_back.png,1,2,"(640, 853, 1280, 1706)","(640, 853, 1280, 1706)",False,,02/07/2026,front_016_022_p01p02_B2,B2,B2,False,front_016_022
021_card,B3,2,3,021,,https://cardlish.com/et/,cards/021_card_front.png,cards/021_card_back.png,1,2,"(1280, 853, 1919, 1706)","(1280, 853, 1919, 1706)",False,,02/07/2026,front_016_022_p01p02_B3,B3,B3,False,front_016_022
022_card,C1,3,1,022,,https://cardlish.com/ed/,cards/022_card_front.png,cards/022_card_back.png,1,2,"(0, 1706, 640, 2559)","(0, 1706, 640, 2559)",False,,02/07/2026,front_016_022_p01p02_C1,C1,C1,False,front_016_022
023_card,C2,3,2,023,,https://cardlish.com/short-e/,cards/023_card_front.png,cards/023_card_back.png,2,1,"(567, 1663, 1069, 2341)","(550, 1663, 1044, 2341)",False,,07/06/2026,legacy_023_card,C2,C2,False,
024,,0,0,024,,https://cardlish.com/short-i/,cards/024_front.png,cards/024_back.png,0,0,"(0, 0, 960, 1280)","(0, 0, 960, 1280)",False,,21/06/2026,photo_024,,,False,photo_import
025,,0,0,025,,https://cardlish.com/ib/,cards/025_front.png,cards/025_back.png,0,0,"(0, 0, 960, 1280)","(0, 0, 960, 1280)",False,,21/06/2026,photo_025,,,False,photo_import
025_card,A1,1,1,025,,https://cardlish.com/ib/,cards/025_card_front.png,cards/025_card_back.png,1,2,"(0, 0, 566, 780)","(0, 0, 566, 780)",False,,07/06/2026,legacy_025_card,A1,A1,False,
026_card,A3,1,3,026,,https://cardlish.com/ick/,cards/026_card_front.png,cards/026_card_back.png,1,2,"(1197, 0, 1699, 771)","(1173, 0, 1699, 769)",False,,07/06/2026,legacy_026_card,A3,A3,False,
027_card,B3,2,3,027,,https://cardlish.com/id/,cards/027_card_front.png,cards/027_card_back.png,1,2,"(1197, 910, 1699, 1595)","(1173, 878, 1699, 1560)",False,,07/06/2026,legacy_027_card,B3,B3,False,
028_card,C3,3,3,028,,https://cardlish.com/ig/,cards/028_card_front.png,cards/028_card_back.png,1,2,"(1197, 1660, 1699, 2341)","(1173, 1657, 1699, 2341)",False,,07/06/2026,legacy_028_card,C3,C3,False,
029_card,A2,1,2,029,,https://cardlish.com/ill/,cards/029_card_front.png,cards/029_card_back.png,1,2,"(597, 0, 1061, 771)","(589, 0, 1071, 769)",False,,07/06/2026,legacy_029_card,A2,A2,False,
030_card,B2,2,2,030,,https://cardlish.com/im/,cards/030_card_front.png,cards/030_card_back.png,1,2,"(597, 910, 1061, 1595)","(589, 878, 1071, 1560)",False,,07/06/2026,legacy_030_card,B2,B2,False,
031_card,C2,3,2,031,,https://cardlish.com/in/,cards/031_card_front.png,cards/031_card_back.png,1,2,"(597, 1660, 1061, 2341)","(589, 1657, 1071, 2341)",False,,07/06/2026,legacy_031_card,C2,C2,False,
032_card,C1,3,1,032,,https://cardlish.com/ip/,cards/032_card_front.png,cards/032_card_back.png,1,2,"(0, 1660, 490, 2341)","(0, 1657, 488, 2341)",False,,07/06/2026,legacy_032_card,C1,C1,False,
033_card,B1,2,1,033,,https://cardlish.com/it/,cards/033_card_front.png,cards/033_card_back.png,1,2,"(0, 910, 490, 1595)","(0, 878, 488, 1560)",False,,07/06/2026,legacy_033_card,B1,B1,False,
034_card,A1,1,1,034,,https://cardlish.com/ix/,cards/034_card_front.png,cards/034_card_back.png,1,2,"(0, 0, 490, 771)","(0, 0, 488, 769)",False,,07/06/2026,legacy_034_card,A1,A1,False,
035_card,C1,3,1,035,,https://cardlish.com/short-o-2/,cards/035_card_front.png,cards/035_card_back.png,2,1,"(0, 1659, 492, 2341)","(0, 1657, 492, 2341)",False,,07/06/2026,legacy_035_card,C1,C1,False,
036_card,C2,3,2,036,,https://cardlish.com/ob/,cards/036_card_front.png,cards/036_card_back.png,2,1,"(537, 1659, 1044, 2341)","(542, 1657, 1048, 2341)",False,,07/06/2026,legacy_036_card,C2,C2,False,
037_card,B2,2,2,037,,https://cardlish.com/ock/,cards/037_card_front.png,cards/037_card_back.png,2,1,"(537, 905, 1044, 1593)","(542, 917, 1048, 1602)",False,,07/06/2026,legacy_037_card,B2,B2,False,
038_card,A2,1,2,038,,https://cardlish.com/od/,cards/038_card_front.png,cards/038_card_back.png,2,1,"(537, 0, 1044, 818)","(542, 0, 1048, 822)",False,,07/06/2026,legacy_038_card,A2,A2,False,
039_card,A3,1,3,039,,https://cardlish.com/og/,cards/039_card_front.png,cards/039_card_back.png,2,1,"(1093, 0, 1699, 818)","(1095, 0, 1699, 822)",False,,07/06/2026,legacy_039_card,A3,A3,False,
040_card,B3,2,3,040,,https://cardlish.com/op/,cards/040_card_front.png,cards/040_card_back.png,2,1,"(1093, 905, 1699, 1593)","(1095, 917, 1699, 1602)",False,,07/06/2026,legacy_040_card,B3,B3,False,
041_card,C3,3,3,041,,https://cardlish.com/ot/,cards/041_card_front.png,cards/041_card_back.png,2,1,"(1093, 1659, 1699, 2341)","(1095, 1657, 1699, 2341)",False,,07/06/2026,legacy_041_card,C3,C3,False,
042_card,A1,1,1,042,,https://cardlish.com/ox/,cards/042_card_front.png,cards/042_card_back.png,1,2,"(0, 0, 491, 859)","(0, 0, 474, 806)",False,,07/06/2026,legacy_042_card,A1,A1,False,
043_card,B1,2,1,043,,https://cardlish.com/short-o-2/,cards/043_card_front.png,cards/043_card_back.png,1,2,"(0, 933, 491, 1619)","(0, 898, 474, 1582)",False,,07/06/2026,legacy_043_card,B1,B1,False,
044_card,C1,3,1,044,,https://cardlish.com/short-o-2/,cards/044_card_front.png,cards/044_card_back.png,1,2,"(0, 1659, 491, 2341)","(0, 1652, 474, 2341)",False,,07/06/2026,legacy_044_card,C1,C1,False,
045_card,C2,3,2,045,,https://cardlish.com/alk/,cards/045_card_front.png,cards/045_card_back.png,1,2,"(537, 1659, 1039, 2341)","(545, 1652, 1048, 2341)",False,,07/06/2026,legacy_045_card,C2,C2,False,
046_card,B2,2,2,046,,https://cardlish.com/all/,cards/046_card_front.png,cards/046_card_back.png,1,2,"(537, 933, 1039, 1619)","(545, 898, 1048, 1582)",False,,07/06/2026,legacy_046_card,B2,B2,False,
047_card,A2,1,2,047,,https://cardlish.com/short-o-2/,cards/047_card_front.png,cards/047_card_back.png,1,2,"(537, 0, 1039, 859)","(545, 0, 1048, 806)",False,,07/06/2026,legacy_047_card,A2,A2,False,
048_card,A3,1,3,048,,https://cardlish.com/short-o-2/,cards/048_card_front.png,cards/048_card_back.png,1,2,"(1079, 0, 1699, 859)","(1093, 0, 1699, 806)",False,,07/06/2026,legacy_048_card,A3,A3,False,
049_card,A3,1,3,049,,https://cardlish.com/short-u/,cards/049_card_front.png,cards/049_card_back.png,2,1,"(1227, 0, 1699, 777)","(1225, 0, 1699, 800)",False,,07/06/2026,legacy_049_card,A3,A3,False,
050_card,B3,2,3,050,,https://cardlish.com/ub/,cards/050_card_front.png,cards/050_card_back.png,2,1,"(1227, 895, 1699, 1582)","(1225, 894, 1699, 1564)",False,,07/06/2026,legacy_050_card,B3,B3,False,
051_card,C3,3,3,051,,https://cardlish.com/uck/,cards/051_card_front.png,cards/051_card_back.png,2,1,"(1227, 1664, 1699, 2341)","(1225, 1661, 1699, 2341)",False,,07/06/2026,legacy_051_card,C3,C3,False,
052_card,A2,1,2,052,,https://cardlish.com/ud/,cards/052_card_front.png,cards/052_card_back.png,2,1,"(595, 0, 1091, 777)","(596, 0, 1092, 800)",False,,07/06/2026,legacy_052_card,A2,A2,False,
053_card,B2,2,2,053,,https://cardlish.com/uff/,cards/053_card_front.png,cards/053_card_back.png,2,1,"(595, 895, 1091, 1582)","(596, 894, 1092, 1564)",False,,07/06/2026,legacy_053_card,B2,B2,False,
054_card,C2,3,2,054,,https://cardlish.com/ug/,cards/054_card_front.png,cards/054_card_back.png,2,1,"(595, 1664, 1091, 2341)","(596, 1661, 1092, 2341)",False,,07/06/2026,legacy_054_card,C2,C2,False,
055_card,A1,1,1,055,,https://cardlish.com/ull/,cards/055_card_front.png,cards/055_card_back.png,2,1,"(0, 0, 488, 777)","(0, 0, 488, 800)",False,,07/06/2026,legacy_055_card,A1,A1,False,
056_card,B1,2,1,056,,https://cardlish.com/um/,cards/056_card_front.png,cards/056_card_back.png,2,1,"(0, 895, 488, 1582)","(0, 894, 488, 1564)",False,,07/06/2026,legacy_056_card,B1,B1,False,
057_card,C1,3,1,057,,https://cardlish.com/un/,cards/057_card_front.png,cards/057_card_back.png,2,1,"(0, 1664, 488, 2341)","(0, 1661, 488, 2341)",False,,07/06/2026,legacy_057_card,C1,C1,False,
058_card,C3,3,3,058,,https://cardlish.com/ut/,cards/058_card_front.png,cards/058_card_back.png,2,1,"(1178, 1664, 1699, 2341)","(1192, 1664, 1699, 2341)",False,,07/06/2026,legacy_058_card,C3,C3,False,
059_ba,A2,1,2,059,ba-,https://cardlish.com/long-a-ay/,cards/059_ba_front.png,cards/059_ba_back.png,1,2,"(586, 0, 1078, 800)","(557, 0, 1059, 795)",False,,07/06/2026,legacy_059_ba,A2,A2,False,
060_card,B2,2,2,060,,https://cardlish.com/long-a-ay/,cards/060_card_front.png,cards/060_card_back.png,1,2,"(586, 925, 1078, 1608)","(557, 909, 1059, 1584)",False,,07/06/2026,legacy_060_card,B2,B2,False,
